,sentence,citation,title,unique_id
0,"Breast tissue is composed of lobules that are glands involved in milk production, ducts that connect the lobules to the nipple and connective tissue, fatty tissue, and lymphatic tissue.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,3dfce223-8e58-41d9-bb92-15ee4de70638
1,"Breast cancer occurs when there is an unregulated growth of cells within any of the components of the breast, although this occurs most commonly in the lobules.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,5530b5cb-c57c-48aa-a66e-ef35a875560f
2,"Although significantly less common, breast cancer can also occur among males.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,c591d917-75fe-4f94-aedd-5a9c4b9af5f4
3,Breast cancer develops over time and may go through an in situ phase.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,6414b7ea-2334-4f7b-8d06-0dc21d862381
4,Breast cancer incidence and mortality increase proportionally with age.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,ca4dc0ae-0336-4628-a490-c835059a7208
5,"Although the overall incidence of breast cancer is slightly lower in black women than in white women, black women have the highest 5 year breast cancer mortality rate for each known stage at diagnosis.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,98f386bb-7d39-4b4d-8db1-22634af9329d
6,Younger age at menarche and older age at menopause increases breast cancer risk.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,c109c9ef-7b6b-41ca-819f-6b241fffcea1
7,"Women with a history of breast cancer are at higher risk of developing the disease again, especially if the initial age at diagnosis was less than 40 years of age.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,775ef692-cfb7-4c03-b5df-061005b68f59
8,"Delayed childbearing, smaller family size, decreased duration of breastfeeding,and hormonal contraceptives have been linked to increased breast cancer risk.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,a7032251-6124-4f37-9b01-48a333a8e013
9,Combined estrogen and progestin therapy increases the risk of developing breast cancer.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,f441a735-cb23-4a16-82e1-ed75366bf129
10,Based on current available information there is evidence to suggest that smoking prior to menopause increases breast cancer risk.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,2f224366-a303-406d-9d7f-0c3456ad1b74
11,Alcohol consumption has been linked to increased breast cancer risk.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,28df6e01-af53-4287-ac2f-4f8bedfc8680
12,Breast cancer risk is decreased in women performing regular physicalactivity and in those who consume high amounts of fruits and vegetables.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,2881768d-de5c-415d-9f88-b1651ca7a868
13,"Hereditary breast and ovarian cancer syndrome is usually caused by genetic mutations in one of two BReast CAncer (BRCA) susceptibility genes, BRCA1 and BRCA2.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,9b983af1-4073-48ee-b025-004677275d29
14,Tumor suppressor genes are essential to the normal biophysiology of human function and development. ,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,be59a285-5e45-4e78-8470-ea8f036ecac8
15,Tumor suppressor genes are key to regulating and inhibiting cell growth and proliferation. ,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,51717207-2283-4915-ba01-efeb9eac878c
16,"Specific proteins are created from these genes that have numerous functions and specialize in DNA repair, initiating apoptosis, block tumor cell adhesion, and preventing metastasis. ","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,1139d833-06fe-4089-86a0-9f9cc25588d7
17,Mutations can occur within these genes leading to inappropriate and dysfunctional proteins that are unable to perform effectively. ,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,a8ddfcdc-20ac-473c-b291-cf6b444d8999
18,"Once mutations occur, there is an increased risk of tumor formation and malignancy. ","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,3bc7ef54-ab4f-49c0-85ea-ec2847bb3787
19,"Specific tumor Breast Cancer Epidemiology, Prevention, and Screening 11 suppressor genes, including the breast cancer genes, BRCA1 and BRCA2, are fundamental in cellular processes through genomic integrity and transcriptional regulation.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,bcade8da-4801-4341-bd66-914a89b949e1
20,148 Mutations within these two genes are linked to the development of breast and/or ovarian cancer. ,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,95ed7980-3509-41f4-894f-1315e091ef7d
21,"These mutations can occur through an inherited, or sporadic process leading to malignancy.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,1cdf0674-7b5e-4160-80ce-38e1d66cb56e
22,Cancer of the breast is one of the most common neoplasms…,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,cd1a157b-ec17-4dc2-83d7-d4fb92535058
23,… and the leading cause of carcinoma deaths in women.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,ea91f2fb-ef59-4eb6-a89f-8d08efe0d081
24,Most breast malignancies arise from epithelial tissue…,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,3a8b9337-9fe5-467d-98e6-9837da1438ba
25,… and are characterised as carcinomas.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,53f00e8f-6e4d-428d-80ea-142e1c90f19a
26,"Breast carcinomas are a diverse group of lesions that differ in microscopic appearance and biologic behavior, although these diverse disorders are often discussed as a single disease.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,6427434e-6c1f-42f2-be78-bbd71504f4c5
27,Carcinoma in situ refers to a neoplastoc proliferation that is limited to ducts and lobules by the basement membrane.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,171536e8-2952-40bb-aa4e-168788789146
28,This distinction is primarly based upon the growth pattern and cytologic geatures of the lesions.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,473a5664-47f8-479b-ba1d-dca4278d9a0c
29,Invasive carcinoma has penetrated through the basement membrane into the stroma.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,1b34de89-142d-40fa-9c74-53e168bdaea8
30,Here cells have the potential to invade into the vascalature and therby reach regional lymph nodes and distant sites.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,821d67f9-894e-4009-a635-7174358cb350
31,Ductal carcinoma (DCIS) in situ is characterised by a proliferation of abnormal cells confined within the mammary ductal system.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,ce9c4787-fbe3-4a01-b5f9-9886b51d0e5d
32,DCIS is commonly classified according to architectural and cytological features and cell necrosis as low and intermediate grade and high grade.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,81bc18c3-6d93-43e2-bfe7-f2514f9225ff
33,The comedo type is characterised by prominent necrosis in the center of the involved spaces. ,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,97f69bc4-8be2-4980-85f9-d4ed4fbe6e2d
34,The necrotic material frequenlty becomes calcified.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,889cc13e-1125-4e7d-a173-9b6058904a96
35,The cribriform type is characterised by the formation of back to back glands withough intervening stroma.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,662734b1-5773-467d-9b3c-d7ec4792d5bb
36,The micropilliary type features small tufts of cells that are oriented perpendicular to the basement membrane of the involved spaces and project into the lumina.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,9816fed4-626c-4312-85d4-ba575193467a
37,"The papillary type shows intraluminal projections of tumor cells that , in contract to the micropapillary variant, demonstrate fibrovascular cores and thereby constitute true papillations.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,39834de9-6979-4adc-85eb-d55cc91853b0
38,"A variant of papillary DCIS, intracystic papillary carcinoma, is characterised by tumour cells that are primarly of exclusively present in a single cystically dilated space.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,fc3fbaf4-05df-49c3-90ea-64eb48e0b05d
39,The solid type is not as well defined as the other subtypes.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,0aaff8f2-f8d9-49c8-a5ab-37433464073a
40,"Less common variants of DCIS include the “clinging” carcinoma, intraductal signet ring cell carcinoma, and cystic hypersecretory duct carcinoma.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,4bc47487-4fc2-43f7-b9b4-70d8d7ad669f
41,"High-grade lesions typically exhibit aneuploidy, lack estrogen and progesterone receptors, and have a high proliferative rate, overexpression of the HER2 oncogene, mutations of the p53 tumor suppressor gene with accumulation of its protein product, and angiogenesis in the surrounding stroma.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,90e66cc5-f58e-4690-86bf-c07699bb7508
42,"Low-grade lesions are typically diploid and estrogen and progesterone receptor positive, have a low proliferative rate, and rarely (if ever) show abnormalities of the HER2/neu or p53 oncogenes.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,1436e570-e7ba-4f96-b0cc-da7be41ad273
43,Lesions categorized histologically as intermediate grade are also intermediate between the high-grade and low-grade lesions with regard to the frequency of alterations in these biologic markers.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,c4d6a0f6-6ea5-4b9f-b257-ba5571424cb2
44,DCIS represents a precursor to invasive carcinoma.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,de64425b-320f-46a7-a1a7-16cb0df7bd62
45,Invasive breast carcinomas consist of several histological subtypes.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,0f96229d-672c-4d76-9295-d87e0502c6b0
46,Infiltrating ductal carcinoma is the most common invasive breast cancer.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,a2a9ce1f-52bf-4f8d-bfbe-adc6f7f25c29
47,It is also termed infiltrating carcinoma of no special type…,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,a46f3159-025b-4c93-b35b-a307e9dfae7c
48,…or infiltrating carcinoma not otherwise specified.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,21161ff7-5333-4807-add2-5e5b945fcf7e
49,"Infiltrating ductal carcinomas are divided into three grades based on a comination of architectural and cytologic features, usually assessed utilising a scoring system based on three parameters.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,e940ef85-5b11-491f-81de-03e9050a7e31
50,Well differentiated (grade 1)—Well-differentiated tumors have cells that infi ltrate the stroma as solid nests of glands.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,d94f7998-ad48-4aa0-9c6e-bb2b7df9e8e3
51,Moderately differentiated (grade 2)—Moderately differentiated tumors have cells that infi ltrate as solid nests with some glandular differentiation.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,a1ef5e66-11a4-49f4-93ba-66aa5b6f2101
52,Poorly differentiated (grade 3)—Poorly differentiated tumors are composed of solid nests of neoplastic cells without evidence of gland formation.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,aac1ab10-f53e-408b-a509-4f5813d55f06
53,Infiltrating lobular carcinoma is the second most common invasive breast cancer.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,4bec498a-e9a9-4930-a04e-c274457ec0d2
54,"In addition to their different histologic appearance and mammographic characteristics, there are distinct prognostic and biologic differences between Infiltrating lobular and ductal cancers.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,7079fe15-d0d2-4325-aa47-2852dd0d0268
55,Infiltrating lobular carcinomas have a higher frequency of bilaterality and multicentricity than Infiltrating ductal carcinomas,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,30812371-11ae-43db-b0ac-fbf547c3c1e7
56,Infiltrating lobular carcinomas arise in older women and are larger and better differentiated tumors.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,53e151f5-3a37-475c-bfeb-489ac159ea27
57,"As a rule, invasive lobular carcinomas are ER positive, with variant lesions showing occasional variable expression.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,50993530-ef6c-4bc3-8dbb-df1bbe8a6988
58,"As a group, invasive lobular carcinomas tend to metastasize later than invasive duct carcinomas and spread to unusual locations such as peritoneum, meninges, and the gastrointestinal tract.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,ac56c968-1eef-478d-92f0-717382f7de1a
59,There is an association between mutations in the cadherin (CDH1) gene and invasive lobular breast cancers.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,6300e055-6f65-48f3-812f-f2130f4033e7
60,"Other less common invasive breast carcinoma histologies include tubular, mucinous, and medullary carcinomas.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,c6d42858-1316-46ab-b096-3980a769ce16
61,Tubular carcinoma is characterized by the presence of well-formed tubular or glandular structures Infiltrating the stroma.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,458028b4-4f5a-472f-8fac-7514c96ebb02
62,"These lesions have a relatively favorable prognosis compared with Infiltrating ductal carcinomas; the natural history is favorable, and metastases are rare.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,fdcab225-d118-4596-b24e-efdb6d4684fb
63,"Mucinous carcinomas… These lesions usually have a soft gelatinous appearance on gross examination, and they tend to be well circumscribed.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,d39fd1fc-c4a3-4e18-8b88-de7c31147702
64,Medullary carcinomas are well circumscribed on macroscopic examination and are often soft and tan brown with areas of hemorrhage or necrosis.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,43e1206b-a174-4125-b8c1-524dc96db2b9
65,Medullary and medullary-like carcinomas occur more frequently in younger patients than other types of breast cancer.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,34052c42-bc7c-4cd8-b0cd-18418ba63e4f
66,They are also more frequent in women who inherited mutations of the BRCA-1 gene.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,690de681-b37f-419f-9652-153cbec6d293
67,"Tubulolobular carcinoma is an often unrecognized breast cancer variant that, as the name implies, has hybrid histologic characteristics of tubular and invasive lobular carcinoma with the same cells comprising well-formed glands contiguous with single- file infiltration of stroma.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,e5006a08-ffbe-4dc9-a896-d3eeafd7f8c7
68,Invasive micropapillary carcinoma is a particularly aggressive form of cancer that has a proclivity for lymph node metastasis even when small in size.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,e9f5c409-e945-441e-8b82-b2e3b17ad8ee
69,"Metaplastic carcinoma is a well-circumscribed tumor that consists of various combinations of poorly differentiated ductal adenocarcinoma, mesenchymal (sarcomatous), and other epithelial (e.g., squamous cell) components.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,5b5e2c3f-93aa-4ab3-a1fd-97273f84aac7
70,The rare adenoid cystic carcinoma of the breast has a distinctive histologic pattern that is morphologically identical to adenoid cystic carcinomas found in the salivary glands.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,4e0506ee-395e-4dc3-b7ee-faf1e1b08e3c
71,"The only uniformaly accepted prognostic markers that provide criticial information necessary for treatment decisions are TNM stage, axillary lymph node status, tumor size and grade, hormone receptor status, and HER2 receptor status.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,9e55e005-f13a-47e3-9118-eb873d17a09b
72,…available evidence suggests that ER-/PR-negative tumors have a worse prognosis.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,0214c85e-d961-48aa-8cd4-5dcf33a13398
73,…ER/PR analysis should be performed routinely in all invasive breast cancers using either immunohistochemistry…,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,ef7899c3-0708-4e7d-b79b-32b490bb1f40
74,…markers of an elevated proliferative rate correlate with a worse prognosis in untreated patients.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,f35dc168-9c15-46f0-93fa-8be36447086d
75,Amplifi cation or overexpression of the HER2 oncogene is present in approximately 20 % of primary invasive breast cancers.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,d673045f-bfc4-4dcf-876e-0af2b0ee5a89
76,High levels of HER2 expression (3+ by IHC or an amplifi ed HER2 gene copy number by FISH identify those women who might benefi t from trastuzumab in both the adjuvant and metastatic disease settings.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,1220bebd-30fb-4ed5-a7f5-f24799cb2d43
77,"High levels of HER2 expression (3+ by IHC or an amplifi ed HER2 gene copy number by fluorescence in situ hybridization [FISH]) represent an important predictive factor, identifying those patients who might benefit from treatments that target HER2, such as trastuzumab, in both the adjuvant and metastatic disease settings.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,ad5abe8f-6a4c-41f9-8773-de52561e3940
78,HER2 overexpression is a negative prognostic factor.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,3af6dd02-a0da-425a-a725-f17120627d4e
79,"Gene expression profi ling has identifi ed molecular signatures, such as the 21-gene recurrence score (RS, Oncotype Dx ® ), the Amsterdam 70-gene prognostic profi le (MammaPrint ® ), and the Rotterdam/Veridex 76-gene signature, that augment conventional prognostic indicators in their ability to predict breast cancer outcome and response to treatment.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,0951bacb-1292-4a51-abf9-6070d91c5fe1
80,"The 21-gene recurrence score can be used to predict the risk of recurrence in patients with newly diagnosed, node-negative, estrogen receptor (ER)-positive disease and to identify patients who are likely to benefi t from chemotherapy added to adjuvant endocrine therapy.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.,16f5e568-0592-485b-990e-63990aae17a0
